timestamp,/auv25/imu/odom_estimate,/auv25/imu/raw,/auv25/sensor_packet,/cmd_vel,/thruster_output
2025-11-27 13:44:35.426,"[-298.9712692162737, 4886.96431599456, -587.104615348905, -0.3070684813586706, -0.0722157427034312, 0.17659737792654573, 0.932366451762042]","[0.0, 0.0, 0.0, 1.0, -0.006794793271122962, 0.09792496184853682, 0.001732006127933304, -9.342174877929686, -0.4836287353515625, -3.660734338378906]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.476,"[-298.9712692162737, 4886.96431599456, -587.104615348905, -0.3070684813586706, -0.0722157427034312, 0.17659737792654573, 0.932366451762042]","[0.0, 0.0, 0.0, 1.0, -0.006794793271122962, 0.09792496184853682, 0.001732006127933304, -9.342174877929686, -0.4836287353515625, -3.660734338378906]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.527,"[-301.22298754831394, 4903.40515479843, -589.2143066074174, -0.30604994808208585, -0.07212110137441473, 0.17680838984971856, 0.9326686278063844]","[0.0, 0.0, 0.0, 1.0, -0.0031975497746461, 0.03757120985209167, 0.001732006127933304, -9.085995300292968, -0.38307226562499996, -3.3207577026367185]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.577,"[-301.22298754831394, 4903.40515479843, -589.2143066074174, -0.30604994808208585, -0.07212110137441473, 0.17680838984971856, 0.9326686278063844]","[0.0, 0.0, 0.0, 1.0, -0.0031975497746461, 0.03757120985209167, 0.001732006127933304, -9.085995300292968, -0.38307226562499996, -3.3207577026367185]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.627,"[-303.485856776505, 4919.888056636584, -591.331933967158, -0.30536457277548334, -0.07197044654150932, 0.17693721223699124, 0.9328804614976477]","[0.0, 0.0, 0.0, 1.0, -0.0013323124061025418, 0.04783001537908124, 0.004529862180748642, -9.119514123535156, -0.4261678955078125, -3.134009973144531]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.677,"[-303.485856776505, 4919.888056636584, -591.331933967158, -0.30536457277548334, -0.07197044654150932, 0.17693721223699124, 0.9328804614976477]","[0.0, 0.0, 0.0, 1.0, -0.0013323124061025418, 0.04783001537908124, 0.004529862180748642, -9.119514123535156, -0.4261678955078125, -3.134009973144531]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.727,"[-305.82823592216477, 4936.9056423224265, -593.5192612523775, -0.3049732839814092, -0.0713846300256439, 0.17532761633638155, 0.9333572507906602]","[0.0, 0.0, 0.0, 1.0, 0.03397396635561481, 0.05249310880044014, 0.002398162330984575, -9.332598071289063, -0.42377369384765623, -3.0741549316406247]","[21705, 0, 23854, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.777,"[-305.82823592216477, 4936.9056423224265, -593.5192612523775, -0.3049732839814092, -0.0713846300256439, 0.17532761633638155, 0.9333572507906602]","[0.0, 0.0, 0.0, 1.0, 0.03397396635561481, 0.05249310880044014, 0.002398162330984575, -9.332598071289063, -0.42377369384765623, -3.0741549316406247]","[21705, 0, 23854, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.827,"[-308.0350009424889, 4952.902753436327, -595.5757357985935, -0.3054740059213262, -0.07140681191466046, 0.17546679084414044, 0.9331656360097175]","[0.0, 0.0, 0.0, 1.0, -0.0030643185340358454, 0.07101225124526546, 0.0057289433462409285, -9.22485899658203, -0.40462008056640625, -3.392583752441406]","[21705, 0, 23854, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.877,"[-308.0350009424889, 4952.902753436327, -595.5757357985935, -0.3054740059213262, -0.07140681191466046, 0.17546679084414044, 0.9331656360097175]","[0.0, 0.0, 0.0, 1.0, -0.0030643185340358454, 0.07101225124526546, 0.0057289433462409285, -9.22485899658203, -0.40462008056640625, -3.392583752441406]","[17966, 0, 25109, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.926,"[-310.33460532320925, 4969.530754817707, -597.714085416688, -0.30545304661966666, -0.07128554362940369, 0.17557003373681587, 0.9331623496658433]","[0.0, 0.0, 0.0, 1.0, -0.0011990811654922875, 0.06128637068071692, 0.005595712105630674, -9.287108239746093, -0.38786066894531246, -3.19865341796875]","[17966, 0, 25109, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.976,"[-310.33460532320925, 4969.530754817707, -597.714085416688, -0.30545304661966666, -0.07128554362940369, 0.17557003373681587, 0.9331623496658433]","[0.0, 0.0, 0.0, 1.0, -0.0011990811654922875, 0.06128637068071692, 0.005595712105630674, -9.287108239746093, -0.38786066894531246, -3.19865341796875]","[17966, 0, 25109, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.026,"[-312.6269384699445, 4986.081120702384, -599.8426057040527, -0.3052508370243161, -0.0712463194055042, 0.17575088025062177, 0.9331974692198082]","[0.0, 0.0, 0.0, 1.0, -0.0031975497746461, 0.054491577409593955, 0.007860643196004996, -9.241618408203124, -0.5793968017578125, -3.3710359375]","[17966, 0, 25109, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
